INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
3,2012,,,
3,2012,1742,0,140
3,2012,1430,50,
3,2012,,,
3,2012,2101,,
3,2012,1750,,
2,2012,650,10,
2,2012,,,
2,2012,2340,,160
2,2012,,,
2,2012,,,
2,2012,1000,5,70
2,2012,,,
2,2012,,0,
2,2012,1800,0,
1,2012,,,
1,2012,,,
1,2012,1630,0,110
1,2012,,,
1,2012,1705,200,140
12,2011,,,
12,2011,718,50,150
12,2011,720,0,
12,2011,700,50,
12,2011,,,
12,2011,1945,4000,200
12,2011,,,
12,2011,2239,60,
12,2011,515,2600,
12,2011,,,
11,2011,720,0,
11,2011,1923,0,
11,2011,1233,,
11,2011,2017,200,
11,2011,,0,
11,2011,,,
11,2011,,,
11,2011,,,
11,2011,1730,200,
11,2011,,,
11,2011,2245,,
11,2011,2230,,
10,2011,1840,5300,235
10,2011,2135,7000,240
10,2011,1000,0,90
10,2011,1220,0,
10,2011,1751,,
10,2011,2245,4500,210
10,2011,1730,,
10,2011,1945,,
10,2011,100,,
10,2011,2045,4000,250
10,2011,,,
10,2011,609,,
10,2011,2030,,
10,2011,540,600,
10,2011,2215,2300,200
9,2011,1035,0,
9,2011,1100,0,
9,2011,,,
9,2011,1343,0,
9,2011,,,
9,2011,931,0,
9,2011,530,,
9,2011,2300,700,
9,2011,1426,,
9,2011,1530,10,65
9,2011,1242,0,
9,2011,2245,,
9,2011,,,
9,2011,,,
9,2011,,,
9,2011,730,100,
9,2011,415,1300,145
9,2011,1320,20,
9,2011,,,
9,2011,,,
9,2011,,,
9,2011,2132,,
9,2011,,,
9,2011,815,,
9,2011,,,
9,2011,1000,1060,85
9,2011,1944,0,
9,2011,,,
9,2011,1853,12000,250
9,2011,,,
9,2011,,,
9,2011,,,
9,2011,1835,0,143
8,2011,,,
8,2011,,,
8,2011,1015,0,
8,2011,,0,
8,2011,140,0,90
8,2011,1220,40,140
8,2011,2250,0,
8,2011,,,
8,2011,1301,,
8,2011,800,,
8,2011,,,
8,2011,2354,50,200
8,2011,850,50,120
8,2011,,,
8,2011,500,,
8,2011,,,
8,2011,130,0,
8,2011,,,
8,2011,,,
8,2011,800,,
8,2011,1626,0,
8,2011,1030,200,140
7,2011,,,
7,2011,1954,,
7,2011,1320,0,
7,2011,,,
7,2011,,,
7,2011,,,
7,2011,800,,
7,2011,1130,0,100
7,2011,1900,0,
7,2011,,,
7,2011,,,
7,2011,1115,0,70
7,2011,2025,,
7,2011,1300,0,
7,2011,,,
7,2011,449,10,
7,2011,1345,,
7,2011,,,
7,2011,,,
7,2011,,,
7,2011,,0,
7,2011,2050,,
7,2011,,0,
6,2011,,,
6,2011,1730,10,55
6,2011,438,,
6,2011,,0,
6,2011,1945,0,
6,2011,1630,,
6,2011,615,,
6,2011,,,
6,2011,910,0,
6,2011,,,
6,2011,1348,0,100
6,2011,,,
6,2011,650,0,120
6,2011,1100,0,150
6,2011,,50,80
6,2011,,,
6,2011,936,0,
6,2011,950,,
5,2011,1135,15,145
5,2011,1704,0,100
5,2011,1240,0,
5,2011,950,0,
5,2011,1225,0,
5,2011,2355,200,
5,2011,1054,150,
5,2011,1435,,
5,2011,1910,0,
5,2011,1240,,
5,2011,807,0,
5,2011,131,2000,
5,2011,2330,,
5,2011,2345,,
5,2011,,4200,
5,2011,1008,0,
5,2011,724,0,
5,2011,,,
5,2011,,,
5,2011,1010,0,
5,2011,1110,0,
5,2011,,3000,145
4,2011,1230,0,
4,2011,800,0,100
4,2011,1600,100,
4,2011,1600,,
4,2011,,,
4,2011,,,
4,2011,1045,1100,
4,2011,2316,1500,
4,2011,,,
4,2011,,,
3,2011,,,
3,2011,,,
3,2011,2100,1600,136
3,2011,,,
3,2011,713,200,
2,2011,730,0,110
2,2011,,,
2,2011,,,
2,2011,1651,0,
2,2011,,,
2,2011,840,0,
2,2011,2020,60,65
2,2011,545,0,
1,2011,,,
1,2011,,,
1,2011,,,
1,2011,,,
1,2011,1000,0,
1,2011,,,
1,2011,955,0,160
12,2010,740,100,92
12,2010,1543,500,140
12,2010,1010,0,
12,2010,,,
11,2010,2316,2000,180
11,2010,1300,,
11,2010,,,
11,2010,450,,
11,2010,955,0,
11,2010,1540,0,50
11,2010,,8000,
11,2010,755,0,
10,2010,1959,6500,
10,2010,1405,1000,140
10,2010,,,
10,2010,700,,
10,2010,805,,
10,2010,,,
10,2010,,,
10,2010,1420,,
10,2010,1140,,
9,2010,1145,,
9,2010,1258,,
9,2010,35,7500,200
9,2010,,0,
9,2010,807,0,170
9,2010,1105,0,
