INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,REMAINS_COLLECTED,MONTH,YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE OF FLIGHT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE OF BIRD,DAMAGE LEVEL
4/9/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,K3201,Bald eagle,TRUE,4,2015,,,,,,,,,1,Large,
4/8/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,CPZ,COMPASS AIRLINES,EMB-170,D,UNKB,Unknown bird,FALSE,4,2015,Night,2145,3000,200,Approach,,,,1,,
4/7/15 0:00,WA,KRNT,RENTON MUNICIPAL ARPT,BUS,BUSINESS,C-172,A,UNKBM,Unknown bird - medium,FALSE,4,2015,Night,2040,200,75,Climb,Some Cloud,None,1,1,Medium,N
4/4/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,4,2015,,,,,,,,,1,Small,
3/26/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,SKW,SKYWEST AIRLINES,CRJ900,D,ZX004,Dark-eyed junco,TRUE,3,2015,Night,2327,,,Approach,Some Cloud,None,1,1,Small,N
3/21/15 0:00,WA,KORS,ORCAS ISLAND ARPT,BUS,BUSINESS,C-172,A,NE1,Gulls,FALSE,3,2015,Day,930,20,140,Approach,Overcast,Rain,2 to 10,1,Medium,N
3/20/15 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,UNKNOWN,,NE1,Gulls,TRUE,3,2015,,,,,,,,,1,Medium,
3/19/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,ASA,ALASKA AIRLINES,B-737-400,D,O2111,Rock pigeon,TRUE,3,2015,Day,913,0,,Landing Roll,Some Cloud,None,1,1,Small,N
3/14/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BOE,BOEING COMMERCIAL AIRPLANE GRP,B-737-700,D,YL001,European starling,TRUE,3,2015,Dusk,1850,1200,130,Approach,Overcast,,Over 100,11-100,Small,N
3/14/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,DHC8 DASH 8,C,ZT002,Western meadowlark,TRUE,3,2015,Day,1350,0,,Landing Roll,,,,1,Small,
3/13/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,NE106,Glaucous-winged gull,TRUE,3,2015,,,,,Descent,Overcast,None,,1,Medium,N
3/9/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-800,D,NE1,Gulls,TRUE,3,2015,,,0,,Take-off run,,,,1,Medium,N
3/9/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,YM1102,American crow,TRUE,3,2015,,,,,,,,,1,Medium,
3/8/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,DAL,DELTA AIR LINES,A-320,D,UNKBL,Unknown bird - large,TRUE,3,2015,,,3000,170,Approach,No Cloud,None,1,1,Large,M?
3/7/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,3,2015,,,,,,,,,1,Small,
3/7/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UAL,UNITED AIRLINES,B-737-900,D,UNKB,Unknown bird,FALSE,3,2015,Night,8,0,,Take-off run,,,,1,,
3/3/15 0:00,WA,KBLI,BELLINGHAM INTL,ASA,ALASKA AIRLINES,B-737-900,D,ZT002,Western meadowlark,TRUE,3,2015,Day,939,0,,Take-off run,No Cloud,None,,1,Small,N
3/2/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R2004,Short-eared owl,TRUE,3,2015,,,,,,,,,1,Small,
3/2/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,JBU,JETBLUE AIRWAYS,A-320,D,UNKB,Unknown bird,TRUE,3,2015,Night,132,0,,Landing Roll,,,,1,,N
3/1/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,DAL,DELTA AIR LINES,A-330,D,K3302,Red-tailed hawk,TRUE,3,2015,Day,900,0,,Landing Roll,No Cloud,None,,2 to 10,Medium,S
2/26/15 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,UNKNOWN,,YL001,European starling,TRUE,2,2015,,,,,,,,,1,Small,
2/21/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-800,D,N5111,Killdeer,TRUE,2,2015,,,,,Departure,,,,1,Small,N
2/20/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,NE106,Glaucous-winged gull,TRUE,2,2015,,,,,,,,,1,Medium,
2/17/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J21,Ducks,TRUE,2,2015,,,,,,,,,1,Medium,
2/16/15 0:00,WA,82WN,MAGEE CREEK AERODROME,PVT,PRIVATELY OWNED,C-182 SKYLAN,A,1G1,Deer,FALSE,2,2015,Day,1332,0,,Landing Roll,No Cloud,None,,1,Large,M
2/11/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,TRUE,2,2015,,,,,,,,,1,Small,
2/7/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,B-777-300,D,NE106,Glaucous-winged gull,TRUE,2,2015,Day,1300,,,Local,Overcast,Rain,,1,Medium,N
2/7/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,DHC8 DASH 8,C,R1101,Barn owl,TRUE,2,2015,Day,750,,,Approach,,,,1,Small,N
2/6/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,TRUE,2,2015,,,,,,,,,2 to 10,Medium,
2/2/15 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,UNKNOWN,,ZH001,Northern shrike,TRUE,2,2015,,,,,,,,,1,Small,
2/2/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,2,2015,,,,,,,,,1,Small,
2/1/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,TRUE,2,2015,,,,,,,,,2 to 10,Small,
1/27/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-800,D,UNKB,Unknown bird,FALSE,1,2015,Night,2058,0,,Landing Roll,,,,1,,
1/24/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,1,2015,,,,,,,,,1,Small,
1/23/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,TRUE,1,2015,,,,,,,,,1,Small,
1/20/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,N6039,Wilson's snipe,TRUE,1,2015,,,,,,,,,1,Small,
1/19/15 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,TRUE,1,2015,,,,,,,,,1,Small,
1/14/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2142,Bufflehead,TRUE,1,2015,,,,,,,,,1,Medium,
1/7/15 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,UNKNOWN,,NE139,Glaucous gull,TRUE,1,2015,,,,,,,,,1,Large,
1/6/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,1,2015,,,,,,,,,1,Small,
12/31/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R2004,Short-eared owl,TRUE,12,2014,,,,,,,,,1,Small,
12/15/14 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,B-747-8 SERIES,,NE1,Gulls,TRUE,12,2014,Day,1030,,,Approach,Some Cloud,None,1,1,Medium,N
12/14/14 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,PVT,PRIVATELY OWNED,PA-28,A,O2111,Rock pigeon,FALSE,12,2014,Day,1442,0,,Landing Roll,,,,1,Small,N
12/13/14 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,CHALLENGER 300,D,YL001,European starling,TRUE,12,2014,Day,1530,300,165,Climb,Some Cloud,None,1,1,Small,N
12/6/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,12,2014,,,,,,,,,1,Small,
12/2/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SKW,SKYWEST AIRLINES,CRJ900,D,K3303,Rough-legged hawk,TRUE,12,2014,Day,1355,0,,Landing Roll,,,1,1,Medium,
11/29/14 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,NE106,Glaucous-winged gull,TRUE,11,2014,,,,,,,,,1,Medium,
11/28/14 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,GULFAERO IV,D,NE1,Gulls,FALSE,11,2014,Day,1300,2000,200,Climb,Overcast,Rain,,1,Medium,M
11/25/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SKW,SKYWEST AIRLINES,CRJ700,D,ZT002,Western meadowlark,FALSE,11,2014,Day,1022,,120,Approach,Overcast,"Fog, Rain",2 to 10,2 to 10,Small,N
11/19/14 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,YL001,European starling,TRUE,11,2014,,,,,,,,,2 to 10,Small,
11/18/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,ZX010,Pine siskin,TRUE,11,2014,,,,,,,,,2 to 10,Small,
11/18/14 0:00,WA,KPUW,PULLMAN/MOSCOW REGIONAL ARPT,UNK,UNKNOWN,UNKNOWN,,K3301,Northern goshawk,TRUE,11,2014,,,,,,,,,1,Medium,
11/17/14 0:00,WA,KBLI,BELLINGHAM INTL,AAY,ALLEGIANT AIR,MD-80,D,UNKB,Unknown bird,FALSE,11,2014,Night,2134,1500,,Approach,,,,1,,
11/13/14 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,NE106,Glaucous-winged gull,TRUE,11,2014,,,,,,,,,1,Medium,
11/7/14 0:00,WA,KGEG,SPOKANE INTERNATIONAL,QXE,HORIZON AIR,DHC8 DASH 8,C,L4302,Gray partridge,TRUE,11,2014,Night,1843,5,,Approach,No Cloud,None,2 to 10,2 to 10,Small,N
11/6/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,11,2014,,,,,,,,,1,Small,
11/5/14 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,NE121,California gull,TRUE,11,2014,,,,,,,,,1,Medium,
11/5/14 0:00,WA,KHQM,BOWERMAN ARPT,BUS,BUSINESS,LEARJET-31,D,UNKBM,Unknown bird - medium,TRUE,11,2014,Night,2100,300,123,Approach,Overcast,"Fog, Rain",,2 to 10,Medium,S
10/31/14 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,NE106,Glaucous-winged gull,TRUE,10,2014,,,,,,,,,1,Medium,
10/31/14 0:00,WA,KBLI,BELLINGHAM INTL,CFS,EMPIRE AIRLINES,C-208,C,NE106,Glaucous-winged gull,TRUE,10,2014,Day,810,0,90,Landing Roll,Overcast,"Fog, Rain",2 to 10,1,Medium,N
